LR,pval,hr,median_day_low,median_day_high,diff_day
VCAN->ITGB1,0.06849197234148274,0.6678902041378817,629,455,-174
GNAI2->CAV1,0.06864746589923199,0.7740979964235709,607.5,446,-161.5
PTPRM->PTPRM,0.06917277503833774,1.510821266978642,475.5,628,152.5
NLGN1->NRXN3,0.06961522160778921,1.3526990781472934,459.5,575,115.5
EDN1->KEL,0.06971675307871938,1.2709239778907804,461.5,578,116.5
LAMC2->ITGB4,0.06993599420949081,0.6682029271467899,589.5,463,-126.5
DHH->PTCH1,0.07028737653555228,1.4104056390096587,456,592,136
GPC3->CD81,0.07055538398276184,1.3666642780054004,445,579,134
THBS1->ITGA2B,0.0706166394555251,0.721353337523334,629.5,455,-174.5
THBS1->ITGB3,0.0706166394555251,0.721353337523334,629.5,455,-174.5
CCL26->CCR1,0.0706847632378973,1.578734548326506,465,608,143
FGB->ITGB2,0.07086476947619524,0.7067564377206864,581,463,-118
F10->F3,0.07090324070646015,0.6455690069553838,530.5,480,-50.5
F7->F3,0.07090324070646015,0.6455690069553838,530.5,480,-50.5
PLG->F3,0.07090324070646015,0.6455690069553838,530.5,480,-50.5
EFNB2->GRM1,0.07179920544179685,0.7388390179169226,599,494,-105
EFNB2->GRM5,0.07179920544179685,0.7388390179169226,599,494,-105
NTN1->UNC5B,0.07232939666483729,0.7516202553604578,607.5,444,-163.5
DSC2->DSG1,0.07257193488324443,0.6525890931155822,583.5,456,-127.5
CCL13->ACKR2,0.07264722589027017,0.6406884272536277,556,480,-76
ADAM9->ITGB1,0.0726503824769954,0.73711092950842,627.5,446,-181.5
AREG->ERBB3,0.07302233843929506,1.209558443994459,373,627,254
HLA-E->KLRC2,0.07517943273797023,1.3993406608369658,441.5,579,137.5
FN1->ITGB8,0.07559337539635702,0.7222074819314924,582.5,456,-126.5
TNFSF13B->TNFRSF17,0.07575540641726719,1.6101977778123786,467,588.5,121.5
CPAMD8->SCTR,0.0763050568365895,1.6022148916503802,463.5,573,109.5
FN1->PLAUR,0.07673674842125688,0.7194405877355347,588.5,456,-132.5
VEGFC->VIPR2,0.07673859964842411,0.736874074293493,589.5,463,-126.5
COL1A2->ITGB1,0.07677434508610437,0.6418930585209706,608.5,456,-152.5
GH1->PRLR,0.07694856485862012,1.3042865772507524,440.5,627,186.5
IL15->IL2RA,0.077258055320505,0.7713567785029067,599,456,-143
WNT7B->FZD8,0.07809758983587001,0.7849736862007456,608.5,446,-162.5
HLA-G->LILRB1,0.07844760748302593,0.7302303746911901,581,456,-125
