LR,cell_type_pair,Patient
MDK->LRP1,Endo->TAM,P09
MDK->LRP1,TAM->CAF,P09
MDK->LRP1,TAM->ETC,P09
MDK->LRP1,TAM->Endo,P09
MDK->LRP1,TAM->TAM,P09
C4BPA->LRP1,ETC->CAF,P09
C4BPA->LRP1,ETC->ETC,P09
C4BPA->LRP1,ETC->Endo,P09
C4BPA->LRP1,ETC->TAM,P09
ARF1->PLD2,CAF->CAF,P09
ARF1->PLD2,CAF->ETC,P09
ARF1->PLD2,CAF->Endo,P09
ARF1->PLD2,CAF->TAM,P09
ARF1->PLD2,DC->CAF,P09
ARF1->PLD2,DC->ETC,P09
ARF1->PLD2,DC->Endo,P09
ARF1->PLD2,DC->TAM,P09
ARF1->PLD2,ETC->CAF,P09
ARF1->PLD2,ETC->ETC,P09
ARF1->PLD2,ETC->Endo,P09
ARF1->PLD2,ETC->TAM,P09
ARF1->PLD2,Endo->CAF,P09
ARF1->PLD2,Endo->ETC,P09
ARF1->PLD2,Endo->Endo,P09
ARF1->PLD2,Endo->TAM,P09
ARF1->PLD2,TAM->CAF,P09
ARF1->PLD2,TAM->ETC,P09
ARF1->PLD2,TAM->Endo,P09
ARF1->PLD2,TAM->TAM,P09
ARF1->PLD2,TIL->CAF,P09
ARF1->PLD2,TIL->ETC,P09
ARF1->PLD2,TIL->Endo,P09
ARF1->PLD2,TIL->TAM,P09
GPC3->CD81,CAF->CAF,P09
GPC3->CD81,CAF->DC,P09
GPC3->CD81,CAF->ETC,P09
GPC3->CD81,CAF->Endo,P09
GPC3->CD81,CAF->TAM,P09
GPC3->CD81,ETC->CAF,P09
GPC3->CD81,ETC->DC,P09
GPC3->CD81,ETC->ETC,P09
GPC3->CD81,ETC->Endo,P09
GPC3->CD81,ETC->TAM,P09
